576162 , 5.74
708413 , 1.42
866379 , 8.09
810024 , 9.48
1243564 , 6.42
770282 , 0.87
902081 , 9.12
400465 , 1.97
726661 , 6.53
1077746 , 10.22
759833 , 1.34
1044535 , 1.29
1506802 , 14.53
895630 , 10.3
729157 , 6.86
760477 , 7.97
1194986 , 11.87
1305926 , 13.17
826095 , 9.3
1152752 , 1.28
941611 , 8.31
1554624 , 13.94
1041849 , 10.71
1035460 , 1.12
1843590 , 9.55
915147 , 1.01
1754282 , 16.37
1807643 , 16.66
1165865 , 12.99
1484216 , 14.11
1615476 , 1.7
674543 , 0.75
1036103 , 10.75
817561 , 8.87
1567498 , 1.68
1471943 , 1.59
370081 , 1.0
1111991 , 11.17
995698 , 9.54
1527429 , 8.37
922627 , 1.91
802062 , 8.65
588172 , 2.72
1698168 , 16.21
328089 , 2.84
1247274 , 12.5
852479 , 8.89
1419661 , 14.81
361851 , 4.28
634389 , 2.94
1335250 , 1.54
1398301 , 1.58
743149 , 8.89
1215157 , 11.57
1474632 , 13.12
765827 , 9.11
264010 , 1.18
1525092 , 7.85
1139172 , 1.34
507755 , 0.59
1316850 , 11.82
1373897 , 13.91
1171391 , 5.82
1752744 , 9.1
336956 , 1.4
1286651 , 11.22
604421 , 6.0
1152698 , 1.33
1126350 , 12.43
1057123 , 10.42
993085 , 11.74
991002 , 1.12
476196 , 0.55
759275 , 6.63
1280814 , 1.46
